"ID of bw","bw","URL for bw","col1"
1361,"call to strcat","file:///tmp/GitClone/funciones.c:266:17:266:22","This 'call to strcat' operation requires 2 bytes but the destination is only 1 bytes."
1388,"call to strcat","file:///tmp/GitClone/funciones.c:268:17:268:22","This 'call to strcat' operation requires 2 bytes but the destination is only 1 bytes."
1417,"call to strcat","file:///tmp/GitClone/funciones.c:271:17:271:22","This 'call to strcat' operation requires 2 bytes but the destination is only 1 bytes."
1446,"call to strcat","file:///tmp/GitClone/funciones.c:274:17:274:22","This 'call to strcat' operation requires 2 bytes but the destination is only 1 bytes."
1475,"call to strcat","file:///tmp/GitClone/funciones.c:277:17:277:22","This 'call to strcat' operation requires 2 bytes but the destination is only 1 bytes."
1504,"call to strcat","file:///tmp/GitClone/funciones.c:280:17:280:22","This 'call to strcat' operation requires 2 bytes but the destination is only 1 bytes."
1533,"call to strcat","file:///tmp/GitClone/funciones.c:283:17:283:22","This 'call to strcat' operation requires 2 bytes but the destination is only 1 bytes."
1562,"call to strcat","file:///tmp/GitClone/funciones.c:286:17:286:22","This 'call to strcat' operation requires 2 bytes but the destination is only 1 bytes."
2496,"call to strcat","file:///tmp/GitClone/funciones.c:149:17:149:22","This 'call to strcat' operation requires 2 bytes but the destination is only 1 bytes."
2525,"call to strcat","file:///tmp/GitClone/funciones.c:152:17:152:22","This 'call to strcat' operation requires 2 bytes but the destination is only 1 bytes."
2554,"call to strcat","file:///tmp/GitClone/funciones.c:155:17:155:22","This 'call to strcat' operation requires 2 bytes but the destination is only 1 bytes."
2583,"call to strcat","file:///tmp/GitClone/funciones.c:158:17:158:22","This 'call to strcat' operation requires 2 bytes but the destination is only 1 bytes."
2612,"call to strcat","file:///tmp/GitClone/funciones.c:161:17:161:22","This 'call to strcat' operation requires 2 bytes but the destination is only 1 bytes."
2641,"call to strcat","file:///tmp/GitClone/funciones.c:164:17:164:22","This 'call to strcat' operation requires 2 bytes but the destination is only 1 bytes."
2670,"call to strcat","file:///tmp/GitClone/funciones.c:167:17:167:22","This 'call to strcat' operation requires 2 bytes but the destination is only 1 bytes."
2699,"call to strcat","file:///tmp/GitClone/funciones.c:170:17:170:22","This 'call to strcat' operation requires 2 bytes but the destination is only 1 bytes."
2728,"call to strcat","file:///tmp/GitClone/funciones.c:173:17:173:22","This 'call to strcat' operation requires 2 bytes but the destination is only 1 bytes."
2757,"call to strcat","file:///tmp/GitClone/funciones.c:176:17:176:22","This 'call to strcat' operation requires 2 bytes but the destination is only 1 bytes."
2786,"call to strcat","file:///tmp/GitClone/funciones.c:179:17:179:22","This 'call to strcat' operation requires 2 bytes but the destination is only 1 bytes."
2815,"call to strcat","file:///tmp/GitClone/funciones.c:182:17:182:22","This 'call to strcat' operation requires 2 bytes but the destination is only 1 bytes."
2844,"call to strcat","file:///tmp/GitClone/funciones.c:185:17:185:22","This 'call to strcat' operation requires 2 bytes but the destination is only 1 bytes."
2873,"call to strcat","file:///tmp/GitClone/funciones.c:188:17:188:22","This 'call to strcat' operation requires 2 bytes but the destination is only 1 bytes."
2902,"call to strcat","file:///tmp/GitClone/funciones.c:191:17:191:22","This 'call to strcat' operation requires 2 bytes but the destination is only 1 bytes."
2931,"call to strcat","file:///tmp/GitClone/funciones.c:194:17:194:22","This 'call to strcat' operation requires 2 bytes but the destination is only 1 bytes."
4325,"call to strcat","file:///tmp/GitClone/funciones.c:42:18:42:23","This 'call to strcat' operation requires 2 bytes but the destination is only 1 bytes."
4343,"call to strcat","file:///tmp/GitClone/funciones.c:43:14:43:19","This 'call to strcat' operation requires 2 bytes but the destination is only 1 bytes."
4378,"call to strcat","file:///tmp/GitClone/funciones.c:46:17:46:22","This 'call to strcat' operation requires 2 bytes but the destination is only 1 bytes."
