"ID of col0","col0","URL for col0","ID of source","source","URL for source","ID of sink","sink","URL for sink","col3","ID of col4","col4","URL for col4","col5"
605099,"access to local variable botsPattern","file:///tmp/GitClone/ArchiSteamFarm/Steam/Bot.cs:525:24:525:34",0,"botNames : String","file:///tmp/GitClone/ArchiSteamFarm/IPC/Controllers/Api/BotController.cs:49:68:49:75",257,"access to local variable botsPattern","file:///tmp/GitClone/ArchiSteamFarm/Steam/Bot.cs:525:24:525:34","$@ flows to the construction of a regular expression.",1008851,"botNames","file:///tmp/GitClone/ArchiSteamFarm/IPC/Controllers/Api/BotController.cs:49:68:49:75","User-provided value"
605099,"access to local variable botsPattern","file:///tmp/GitClone/ArchiSteamFarm/Steam/Bot.cs:525:24:525:34",1,"botNames : String","file:///tmp/GitClone/ArchiSteamFarm/IPC/Controllers/Api/BotController.cs:71:53:71:60",257,"access to local variable botsPattern","file:///tmp/GitClone/ArchiSteamFarm/Steam/Bot.cs:525:24:525:34","$@ flows to the construction of a regular expression.",1008852,"botNames","file:///tmp/GitClone/ArchiSteamFarm/IPC/Controllers/Api/BotController.cs:71:53:71:60","User-provided value"
605099,"access to local variable botsPattern","file:///tmp/GitClone/ArchiSteamFarm/Steam/Bot.cs:525:24:525:34",2,"botNames : String","file:///tmp/GitClone/ArchiSteamFarm/IPC/Controllers/Api/BotController.cs:167:90:167:97",257,"access to local variable botsPattern","file:///tmp/GitClone/ArchiSteamFarm/Steam/Bot.cs:525:24:525:34","$@ flows to the construction of a regular expression.",1008855,"botNames","file:///tmp/GitClone/ArchiSteamFarm/IPC/Controllers/Api/BotController.cs:167:90:167:97","User-provided value"
605099,"access to local variable botsPattern","file:///tmp/GitClone/ArchiSteamFarm/Steam/Bot.cs:525:24:525:34",3,"botNames : String","file:///tmp/GitClone/ArchiSteamFarm/IPC/Controllers/Api/BotController.cs:189:87:189:94",257,"access to local variable botsPattern","file:///tmp/GitClone/ArchiSteamFarm/Steam/Bot.cs:525:24:525:34","$@ flows to the construction of a regular expression.",1008856,"botNames","file:///tmp/GitClone/ArchiSteamFarm/IPC/Controllers/Api/BotController.cs:189:87:189:94","User-provided value"
605099,"access to local variable botsPattern","file:///tmp/GitClone/ArchiSteamFarm/Steam/Bot.cs:525:24:525:34",4,"botNames : String","file:///tmp/GitClone/ArchiSteamFarm/IPC/Controllers/Api/BotController.cs:219:88:219:95",257,"access to local variable botsPattern","file:///tmp/GitClone/ArchiSteamFarm/Steam/Bot.cs:525:24:525:34","$@ flows to the construction of a regular expression.",1008857,"botNames","file:///tmp/GitClone/ArchiSteamFarm/IPC/Controllers/Api/BotController.cs:219:88:219:95","User-provided value"
605099,"access to local variable botsPattern","file:///tmp/GitClone/ArchiSteamFarm/Steam/Bot.cs:525:24:525:34",5,"botNames : String","file:///tmp/GitClone/ArchiSteamFarm/IPC/Controllers/Api/BotController.cs:260:68:260:75",257,"access to local variable botsPattern","file:///tmp/GitClone/ArchiSteamFarm/Steam/Bot.cs:525:24:525:34","$@ flows to the construction of a regular expression.",1008859,"botNames","file:///tmp/GitClone/ArchiSteamFarm/IPC/Controllers/Api/BotController.cs:260:68:260:75","User-provided value"
605099,"access to local variable botsPattern","file:///tmp/GitClone/ArchiSteamFarm/Steam/Bot.cs:525:24:525:34",6,"botNames : String","file:///tmp/GitClone/ArchiSteamFarm/IPC/Controllers/Api/BotController.cs:289:68:289:75",257,"access to local variable botsPattern","file:///tmp/GitClone/ArchiSteamFarm/Steam/Bot.cs:525:24:525:34","$@ flows to the construction of a regular expression.",1008861,"botNames","file:///tmp/GitClone/ArchiSteamFarm/IPC/Controllers/Api/BotController.cs:289:68:289:75","User-provided value"
605099,"access to local variable botsPattern","file:///tmp/GitClone/ArchiSteamFarm/Steam/Bot.cs:525:24:525:34",7,"botNames : String","file:///tmp/GitClone/ArchiSteamFarm/IPC/Controllers/Api/BotController.cs:318:69:318:76",257,"access to local variable botsPattern","file:///tmp/GitClone/ArchiSteamFarm/Steam/Bot.cs:525:24:525:34","$@ flows to the construction of a regular expression.",1008863,"botNames","file:///tmp/GitClone/ArchiSteamFarm/IPC/Controllers/Api/BotController.cs:318:69:318:76","User-provided value"
605099,"access to local variable botsPattern","file:///tmp/GitClone/ArchiSteamFarm/Steam/Bot.cs:525:24:525:34",8,"botNames : String","file:///tmp/GitClone/ArchiSteamFarm/IPC/Controllers/Api/BotController.cs:390:69:390:76",257,"access to local variable botsPattern","file:///tmp/GitClone/ArchiSteamFarm/Steam/Bot.cs:525:24:525:34","$@ flows to the construction of a regular expression.",1008867,"botNames","file:///tmp/GitClone/ArchiSteamFarm/IPC/Controllers/Api/BotController.cs:390:69:390:76","User-provided value"
605099,"access to local variable botsPattern","file:///tmp/GitClone/ArchiSteamFarm/Steam/Bot.cs:525:24:525:34",9,"botNames : String","file:///tmp/GitClone/ArchiSteamFarm/IPC/Controllers/Api/BotController.cs:412:68:412:75",257,"access to local variable botsPattern","file:///tmp/GitClone/ArchiSteamFarm/Steam/Bot.cs:525:24:525:34","$@ flows to the construction of a regular expression.",1008868,"botNames","file:///tmp/GitClone/ArchiSteamFarm/IPC/Controllers/Api/BotController.cs:412:68:412:75","User-provided value"
