"ID of deserializeCall","deserializeCall","URL for deserializeCall","col1"
5854547,"call to method DeserializeObject<DefendantViewModel>","file:///tmp/GitClone/Anabi.Integration.Tests/Assets/AddDefendantTests.cs:80:29:80:83","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
5855333,"call to method DeserializeObject<OwnerViewModel>","file:///tmp/GitClone/Anabi.Integration.Tests/Assets/AddOwnerTests.cs:80:29:80:79","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
5855802,"call to method DeserializeObject<SolutionViewModel>","file:///tmp/GitClone/Anabi.Integration.Tests/Assets/AddSolutionTests.cs:49:29:49:82","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
5856349,"call to method DeserializeObject<AddressViewModel>","file:///tmp/GitClone/Anabi.Integration.Tests/Assets/GetAssetAddressTests.cs:41:29:41:81","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
5856473,"call to method DeserializeObject<AddressViewModel>","file:///tmp/GitClone/Anabi.Integration.Tests/Assets/GetAssetAddressTests.cs:57:29:57:81","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
5856816,"call to method DeserializeObject<List<Category>>","file:///tmp/GitClone/Anabi.Integration.Tests/Assets/GetAssetCategoriesTests.cs:30:25:30:109","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
5856932,"call to method DeserializeObject<List<Category>>","file:///tmp/GitClone/Anabi.Integration.Tests/Assets/GetAssetCategoriesTests.cs:46:25:46:109","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
5857689,"call to method DeserializeObject<AddressViewModel>","file:///tmp/GitClone/Anabi.Integration.Tests/Helpers/AddAddressToAssetHelper.cs:28:34:28:89","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
5857876,"call to method DeserializeObject<AssetStorageSpaceViewModel>","file:///tmp/GitClone/Anabi.Integration.Tests/Helpers/AddAssetToStorageSpaceHelper.cs:30:29:30:94","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
5858065,"call to method DeserializeObject<MinimalAssetViewModel>","file:///tmp/GitClone/Anabi.Integration.Tests/Helpers/AddMinimalAssetHelper.cs:33:34:33:94","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
5859167,"call to method DeserializeObject<List<Institution>>","file:///tmp/GitClone/Anabi.Integration.Tests/Institutions/CacheTests.cs:98:30:98:83","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
5859236,"call to method DeserializeObject<List<Institution>>","file:///tmp/GitClone/Anabi.Integration.Tests/Institutions/CacheTests.cs:107:30:107:83","Unsafe deserializer is used. Make sure the value being deserialized comes from a trusted source."
