"ID of sink","sink","URL for sink","ID of source","source","URL for source","ID of sink","sink","URL for sink","col3","ID of regexp","regexp","URL for regexp","col5","ID of col6","col6","URL for col6","col7"
607,"scientificName","file:///tmp/GitClone/api/src/main/java/life/catalogue/api/model/Name.java:722:40:722:53",9,"q : String","file:///tmp/GitClone/webservice/src/main/java/life/catalogue/resources/MatchingResource.java:40:26:40:50",607,"scientificName","file:///tmp/GitClone/api/src/main/java/life/catalogue/api/model/Name.java:722:40:722:53","This $@ that depends on $@ may run slow on strings with many repetitions of 'aa gx '.",1313,".+","file:///tmp/GitClone/api/src/main/java/life/catalogue/api/model/Name.java:41:183:41:184","regular expression",367856,"q","file:///tmp/GitClone/webservice/src/main/java/life/catalogue/resources/MatchingResource.java:40:26:40:50","a user-provided value"
607,"scientificName","file:///tmp/GitClone/api/src/main/java/life/catalogue/api/model/Name.java:722:40:722:53",12,"q : String","file:///tmp/GitClone/webservice/src/main/java/life/catalogue/resources/NamesIndexResource.java:54:26:54:50",607,"scientificName","file:///tmp/GitClone/api/src/main/java/life/catalogue/api/model/Name.java:722:40:722:53","This $@ that depends on $@ may run slow on strings with many repetitions of 'aa gx '.",1313,".+","file:///tmp/GitClone/api/src/main/java/life/catalogue/api/model/Name.java:41:183:41:184","regular expression",367948,"q","file:///tmp/GitClone/webservice/src/main/java/life/catalogue/resources/NamesIndexResource.java:54:26:54:50","a user-provided value"
607,"scientificName","file:///tmp/GitClone/api/src/main/java/life/catalogue/api/model/Name.java:722:40:722:53",13,"scientificName : String","file:///tmp/GitClone/webservice/src/main/java/life/catalogue/resources/NamesIndexResource.java:55:26:55:76",607,"scientificName","file:///tmp/GitClone/api/src/main/java/life/catalogue/api/model/Name.java:722:40:722:53","This $@ that depends on $@ may run slow on strings with many repetitions of 'aa gx '.",1313,".+","file:///tmp/GitClone/api/src/main/java/life/catalogue/api/model/Name.java:41:183:41:184","regular expression",367949,"scientificName","file:///tmp/GitClone/webservice/src/main/java/life/catalogue/resources/NamesIndexResource.java:55:26:55:76","a user-provided value"
607,"scientificName","file:///tmp/GitClone/api/src/main/java/life/catalogue/api/model/Name.java:722:40:722:53",15,"csl : CslData","file:///tmp/GitClone/webservice/src/main/java/life/catalogue/resources/ReferenceResource.java:60:61:60:78",607,"scientificName","file:///tmp/GitClone/api/src/main/java/life/catalogue/api/model/Name.java:722:40:722:53","This $@ that depends on $@ may run slow on strings with many repetitions of 'aa gx '.",1313,".+","file:///tmp/GitClone/api/src/main/java/life/catalogue/api/model/Name.java:41:183:41:184","regular expression",367978,"csl","file:///tmp/GitClone/webservice/src/main/java/life/catalogue/resources/ReferenceResource.java:60:61:60:78","a user-provided value"
608,"id","file:///tmp/GitClone/api/src/main/java/life/catalogue/api/model/ParserConfig.java:17:36:17:37",15,"csl : CslData","file:///tmp/GitClone/webservice/src/main/java/life/catalogue/resources/ReferenceResource.java:60:61:60:78",608,"id","file:///tmp/GitClone/api/src/main/java/life/catalogue/api/model/ParserConfig.java:17:36:17:37","This $@ that depends on $@ may run slow on strings with many repetitions of 'a|a'.",1319,".*","file:///tmp/GitClone/api/src/main/java/life/catalogue/api/model/ParserConfig.java:11:63:11:64","regular expression",367978,"csl","file:///tmp/GitClone/webservice/src/main/java/life/catalogue/resources/ReferenceResource.java:60:61:60:78","a user-provided value"
608,"id","file:///tmp/GitClone/api/src/main/java/life/catalogue/api/model/ParserConfig.java:17:36:17:37",19,"id : String","file:///tmp/GitClone/webservice/src/main/java/life/catalogue/resources/parser/NameParserResource.java:261:28:261:53",608,"id","file:///tmp/GitClone/api/src/main/java/life/catalogue/api/model/ParserConfig.java:17:36:17:37","This $@ that depends on $@ may run slow on strings with many repetitions of 'a|a'.",1319,".*","file:///tmp/GitClone/api/src/main/java/life/catalogue/api/model/ParserConfig.java:11:63:11:64","regular expression",368232,"id","file:///tmp/GitClone/webservice/src/main/java/life/catalogue/resources/parser/NameParserResource.java:261:28:261:53","a user-provided value"
609,"prefixedIdOrName","file:///tmp/GitClone/api/src/main/java/life/catalogue/common/kryo/AreaSerializer.java:50:28:50:43",17,"id : String","file:///tmp/GitClone/webservice/src/main/java/life/catalogue/resources/VocabResource.java:221:40:221:65",609,"prefixedIdOrName","file:///tmp/GitClone/api/src/main/java/life/catalogue/common/kryo/AreaSerializer.java:50:28:50:43","This $@ that depends on $@ may run slow on strings with many repetitions of ' '.",1359,".+","file:///tmp/GitClone/api/src/main/java/life/catalogue/common/kryo/AreaSerializer.java:17:78:17:79","regular expression",368161,"id","file:///tmp/GitClone/webservice/src/main/java/life/catalogue/resources/VocabResource.java:221:40:221:65","a user-provided value"
609,"prefixedIdOrName","file:///tmp/GitClone/api/src/main/java/life/catalogue/common/kryo/AreaSerializer.java:50:28:50:43",24,"data : List","file:///tmp/GitClone/webservice/src/main/java/life/catalogue/resources/parser/ParserResource.java:95:73:95:89",609,"prefixedIdOrName","file:///tmp/GitClone/api/src/main/java/life/catalogue/common/kryo/AreaSerializer.java:50:28:50:43","This $@ that depends on $@ may run slow on strings with many repetitions of ' '.",1359,".+","file:///tmp/GitClone/api/src/main/java/life/catalogue/common/kryo/AreaSerializer.java:17:78:17:79","regular expression",368261,"data","file:///tmp/GitClone/webservice/src/main/java/life/catalogue/resources/parser/ParserResource.java:95:73:95:89","a user-provided value"
609,"prefixedIdOrName","file:///tmp/GitClone/api/src/main/java/life/catalogue/common/kryo/AreaSerializer.java:50:28:50:43",25,"values : List","file:///tmp/GitClone/webservice/src/main/java/life/catalogue/resources/parser/ParserResource.java:85:72:85:107",609,"prefixedIdOrName","file:///tmp/GitClone/api/src/main/java/life/catalogue/common/kryo/AreaSerializer.java:50:28:50:43","This $@ that depends on $@ may run slow on strings with many repetitions of ' '.",1359,".+","file:///tmp/GitClone/api/src/main/java/life/catalogue/common/kryo/AreaSerializer.java:17:78:17:79","regular expression",368263,"values","file:///tmp/GitClone/webservice/src/main/java/life/catalogue/resources/parser/ParserResource.java:85:72:85:107","a user-provided value"
611,"template","file:///tmp/GitClone/api/src/main/java/life/catalogue/common/text/SimpleTemplate.java:54:45:54:52",6,"settings : DatasetSettings","file:///tmp/GitClone/webservice/src/main/java/life/catalogue/resources/DatasetResource.java:136:54:136:77",611,"template","file:///tmp/GitClone/api/src/main/java/life/catalogue/common/text/SimpleTemplate.java:54:45:54:52","This $@ that depends on $@ may run slow on strings starting with '{0,' and with many repetitions of '{0,|'.",1386,"[^}]+","file:///tmp/GitClone/api/src/main/java/life/catalogue/common/text/SimpleTemplate.java:34:107:34:111","regular expression",367731,"settings","file:///tmp/GitClone/webservice/src/main/java/life/catalogue/resources/DatasetResource.java:136:54:136:77","a user-provided value"
