hash,createDB,sizeResult,buildTime
eb97b21d7df3cf96191db3321761dbb3cc050731934a74062c20d887549819c5f64523c06f5557195015c358a4ade6738797b34a5f89e6cc629ed3af036fecf8,1,159,0:01:53.899461_0
36f8831ea5ae15793df8bae713439ddb275efd1eb0bb5fbac94542e9cf2760299702d18ccc5e1b5cc4a4cd62c345d6b05f68ab59de580facc5c652d6562381bf,1,159,0:00:18.344046_0
17eb9eef216f8991d5763f076d634c6e2c6166768405003d198af8b51bc18d520bb3a792cb3caa6a9b2d8a983e58abd047d56f302fefd7e3cbb96120c6989ed0,1,159,0:00:22.506023_0
ad58c8a24f900dda18cd26514f094eb7689cc705982a72e98f61a22533e03363fd24f207a9c69981cecdcca7ea4244142253a79da99bf27c201fa0e8036464ba,1,159,0:00:22.316556_0
5c7ad7ed260c5f4eb92aa20c4537889885bd7dc710e08191d6843075f6e374c838629a8e6843cb7b299a83d829f78367bd29e4d7e2405bdbddb6a0280494e8e5,1,159,0:01:06.360336_0
ab0d48be08558df6af2574c36762c58604f1a0cc8c7a4d2576f490363e5c835f066ac3e87a0fb53436342c44993c8492db557ea4bdea8496fa3b464cfcdd54a2,1,159,0:01:14.603479_0
46b6de2f9ed58e64829961105c26471526950423c6bed495a232c7ddfb503bcbf5d4e57b39885826b5994e92ff6ea5c0bce34c827db2e97437563276aa06ea16,1,159,0:00:22.612206_0
296a0a401728f8f4e0bf82290a599f9cd55fb0f5a05e1d7eb53ffcc73723114b28b1212fdb662955f3179008dc97fc9cf17d2bd5fa9c77f770424caf299d996e,1,159,0:00:09.335608_0
551ca64109896b7d92348bd0a3da5e76d969c4d17811625ccd44ac7ea74cf414f63975635def1cc823c394c1d17c68c5f7fa619772edd40a39c367f99b2ed449,1,159,0:00:14.154768_0
e00fb37105fa44a650c95c33f3c52483225e52ee1d49885f43ef046e59c14127af56845c65a13f49ff3c3dd9facb52d2d9a4403caa054fe277f932a1e4507c66,1,159,0:00:11.078865_0
319fabb27cfbc9fa56dc989f6e23f3d6e0adc705f499e8f5595ab24340bde685c81a48783f9a7d88e78ff4bcc760e7ef7ff9568a6f91770be887034102181a48,1,159,0:00:11.840860_0
1f3a4b7f0a3520d7c5f3d9d3ef6c606a1eb2417f1dc2bed9c67f9f672fa9464fbf7e0948e37adbed5a3f4371c667078efc98841e9253610017beb2371d38feae,1,159,0:00:11.570475_0
9ff79b6a5503a803fb0759bf2d909b9f529f199af195fc85f25bab9be917780578817209fbe3c32617aae898ea34c2ae0c0faa0660e14295bceb172c4fecdf71,1,159,0:00:12.352883_0
02c99d3b54ea8850f37e568009e9d694be1e43ed338c70f8da1024fefe8079c62ad5601d1bf54aa5f4f1bfb2287492a5f7c5d7ffc2cba84708628181d7c11d49,1,159,0:00:22.370725_0
85519ea085c520d4fc9d518eaa9f720eb56055fec74abbb3b6e8dcaee59a6ae39dcf579a24589c4248fe98b9ee6013772ff5eb202eefd885225a08a2e0e3a10e,1,159,0:00:22.559083_0
78c9b45d39586c5273007b81831eb28b755c2d0b7c2fa7d8c93bd32150e5698b0dc6518ec8561191426e1236993d0e43bbc3b71537af64e739194a69fbaec9bf,1,159,0:00:24.175425_0
872bbe7bd0d5d91448afe46df6fa45fa0196b6a41b82bd900635dddeea9b80b5b161b265c98714f769402095ed44e5c05dca90561f622faae3e787a5e662086f,1,159,0:00:13.246135_0
e61f8dcf885147bb7a6dd602d54580bdd262f6c4156eea0376b342252d8476a6513abfb0d3d840db4291d023be2fbcd03f55072fb7c427974c8023dec041e618,1,159,0:00:57.276486_0
6552c970d95d8194960405e062d6535f67df059c395d3166668a83cd991c4203c8eb38cf25030aee5b4a342114a2741dd8f1a604f4499b41cb542c70c982c4a6,1,1055,0:00:16.744120_0
785e01b8ee70bb25d5e44a61fb8d253a48265e0bdfe3891a6eddf762dd7b159bd6982237b65e603cc9fe12ec945e701144d14b6a628b72f8ba021a60c543d5a9,1,159,0:00:15.771582_0
a57475c3eb9fc2700eb2fa7ada61199018ab090b4c3c7f6f37cbe1aec4216f0e75b1cb0861f988edc722575f965360f54409a178eeea210ad60c3983f189637b,1,159,0:00:11.200459_0
eec584f2579def4536c319b1e278973a020a0edc693c63c6d499b20731e03ce650be9bbd0641e68b1fee47b770dff3de8d018030bc3484e9846edb08c8d4a791,1,159,0:00:11.452475_0
086d0f5009ac97d58eaa5dcf4e101910ffc8d3c7b488f74ca5dc8ffc40c614b73de6a962c7648c04c63cda23df5de3ee1e779ce97a07c8a9f90bf2e883d75997,1,159,0:00:13.832701_0
563b505a203f1ad98f0b0153a4e9010c3f6200d4fcf3e60da25d67a512f725bcd9b29c5e2b06e2316e0f958c2232a52ed94d384ea4353ab35f1ea9e55c5443b7,1,159,0:00:09.489444_0
6a0f06d574a01ba49802af6108cf7678359cc2faac93615ee7e71757b3845e250cdc359537301cfcad931c050862f1645ad99efa7cb6a222caa749b7cb2c6957,1,1113,0:02:07.336840_0
7fc7fe12e5ec0d9f2114e38fc8f37bc2a31a9347471de0f88543e3dde7e62555f790ae5997842fa741c2fdceae6502ea707bf55dd948d59031673877076014e6,1,159,0:00:19.508727_0
0f4bf2400ac14c542e5100f80f841bee9dd4c4393e4e5adecca6d010663381c12942e31492703c31801a8ef704be0b4e798832338cce2e38a2a941ca7baebe25,1,159,0:00:20.147054_0
2238d23c3e9b23045c6e8c14e255908f8131c7ab2d8f1dda5a50c70555a50be712cb00eee91168ebd5845ca0c3d9485b3dbafe665f8e6806e9255ec9ca1d3aeb,1,159,0:00:13.372365_0
a485cd9a6c45cfac7452a441c37fe126c0a1a7d321d5664cb1e55d3cc8032026ff48d76746bf7808a5848f3239cfebbe3842bd8fe9eec0a5a08a0cd8eb7c77e1,1,159,0:00:07.989043_0
8d4137c354cbf6cccdb390c317f553055d8a6d378de805bc1be42ce609952b5880ab2e2f9a59e250dc4c91f3b77de240309eff9966584c48a385d737c45127f6,1,159,0:00:27.182285_0
457ba7cec11e2b71d2a3e98930bf1c71d5950274e2575ec8a8740c400f07dd474fd0be1c8bf0ce86a0d7320af98e524ba4f8dfbac3d8e2076675406d6f78251b,1,159,0:00:17.650104_0
2ab3d69e2f91830761d4d317815a127bc395c5c6e001d4169e374a6f8fdbebecb99d324a9ecfe9057e5d2a71bba996cf823d711ff784d5a39bdf693f70848303,1,159,0:00:23.437570_0
