"ID of sink","sink","URL for sink","ID of source","source","URL for source","ID of sink","sink","URL for sink","col3","ID of regexp","regexp","URL for regexp","col5","ID of col6","col6","URL for col6","col7"
21069,"remaining","file:///tmp/GitClone/hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/util/KerberosName.java:362:44:362:52",1,"getInputStream(...) : InputStream","file:///tmp/GitClone/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/crypto/key/kms/KMSClientProvider.java:560:29:560:49",21069,"remaining","file:///tmp/GitClone/hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/util/KerberosName.java:362:44:362:52","This $@ that depends on $@ may run slow on strings with many repetitions of ' '.",3397,"\s*","file:///tmp/GitClone/hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/util/KerberosName.java:84:22:85:25","regular expression",52764,"getInputStream(...)","file:///tmp/GitClone/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/crypto/key/kms/KMSClientProvider.java:560:29:560:49","a user-provided value"
21069,"remaining","file:///tmp/GitClone/hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/util/KerberosName.java:362:44:362:52",1,"getInputStream(...) : InputStream","file:///tmp/GitClone/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/crypto/key/kms/KMSClientProvider.java:560:29:560:49",21069,"remaining","file:///tmp/GitClone/hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/util/KerberosName.java:362:44:362:52","This $@ that depends on $@ may run slow on strings starting with 'RULE:[:' and with many repetitions of 'RULE:[:\\'.",3399,"[^\]]*","file:///tmp/GitClone/hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/util/KerberosName.java:84:54:85:60","regular expression",52764,"getInputStream(...)","file:///tmp/GitClone/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/crypto/key/kms/KMSClientProvider.java:560:29:560:49","a user-provided value"
21069,"remaining","file:///tmp/GitClone/hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/util/KerberosName.java:362:44:362:52",1,"getInputStream(...) : InputStream","file:///tmp/GitClone/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/crypto/key/kms/KMSClientProvider.java:560:29:560:49",21069,"remaining","file:///tmp/GitClone/hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/util/KerberosName.java:362:44:362:52","This $@ that depends on $@ may run slow on strings starting with 'RULE:[:](' and with many repetitions of 'RULE:[:](('.",3401,"[^)]*","file:///tmp/GitClone/hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/util/KerberosName.java:84:68:85:72","regular expression",52764,"getInputStream(...)","file:///tmp/GitClone/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/crypto/key/kms/KMSClientProvider.java:560:29:560:49","a user-provided value"
21069,"remaining","file:///tmp/GitClone/hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/util/KerberosName.java:362:44:362:52",2,"getInputStream(...) : InputStream","file:///tmp/GitClone/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/crypto/key/kms/KMSClientProvider.java:598:14:598:34",21069,"remaining","file:///tmp/GitClone/hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/util/KerberosName.java:362:44:362:52","This $@ that depends on $@ may run slow on strings with many repetitions of ' '.",3397,"\s*","file:///tmp/GitClone/hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/util/KerberosName.java:84:22:85:25","regular expression",52869,"getInputStream(...)","file:///tmp/GitClone/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/crypto/key/kms/KMSClientProvider.java:598:14:598:34","a user-provided value"
21069,"remaining","file:///tmp/GitClone/hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/util/KerberosName.java:362:44:362:52",2,"getInputStream(...) : InputStream","file:///tmp/GitClone/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/crypto/key/kms/KMSClientProvider.java:598:14:598:34",21069,"remaining","file:///tmp/GitClone/hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/util/KerberosName.java:362:44:362:52","This $@ that depends on $@ may run slow on strings starting with 'RULE:[:' and with many repetitions of 'RULE:[:\\'.",3399,"[^\]]*","file:///tmp/GitClone/hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/util/KerberosName.java:84:54:85:60","regular expression",52869,"getInputStream(...)","file:///tmp/GitClone/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/crypto/key/kms/KMSClientProvider.java:598:14:598:34","a user-provided value"
21069,"remaining","file:///tmp/GitClone/hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/util/KerberosName.java:362:44:362:52",2,"getInputStream(...) : InputStream","file:///tmp/GitClone/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/crypto/key/kms/KMSClientProvider.java:598:14:598:34",21069,"remaining","file:///tmp/GitClone/hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/util/KerberosName.java:362:44:362:52","This $@ that depends on $@ may run slow on strings starting with 'RULE:[:](' and with many repetitions of 'RULE:[:](('.",3401,"[^)]*","file:///tmp/GitClone/hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/util/KerberosName.java:84:68:85:72","regular expression",52869,"getInputStream(...)","file:///tmp/GitClone/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/crypto/key/kms/KMSClientProvider.java:598:14:598:34","a user-provided value"
21069,"remaining","file:///tmp/GitClone/hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/util/KerberosName.java:362:44:362:52",3,"getInputStream(...) : FSDataInputStream","file:///tmp/GitClone/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/fs/http/AbstractHttpFileSystem.java:65:22:65:42",21069,"remaining","file:///tmp/GitClone/hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/util/KerberosName.java:362:44:362:52","This $@ that depends on $@ may run slow on strings with many repetitions of ' '.",3397,"\s*","file:///tmp/GitClone/hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/util/KerberosName.java:84:22:85:25","regular expression",94119,"getInputStream(...)","file:///tmp/GitClone/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/fs/http/AbstractHttpFileSystem.java:65:22:65:42","a user-provided value"
21069,"remaining","file:///tmp/GitClone/hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/util/KerberosName.java:362:44:362:52",3,"getInputStream(...) : FSDataInputStream","file:///tmp/GitClone/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/fs/http/AbstractHttpFileSystem.java:65:22:65:42",21069,"remaining","file:///tmp/GitClone/hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/util/KerberosName.java:362:44:362:52","This $@ that depends on $@ may run slow on strings starting with 'RULE:[:' and with many repetitions of 'RULE:[:\\'.",3399,"[^\]]*","file:///tmp/GitClone/hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/util/KerberosName.java:84:54:85:60","regular expression",94119,"getInputStream(...)","file:///tmp/GitClone/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/fs/http/AbstractHttpFileSystem.java:65:22:65:42","a user-provided value"
21069,"remaining","file:///tmp/GitClone/hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/util/KerberosName.java:362:44:362:52",3,"getInputStream(...) : FSDataInputStream","file:///tmp/GitClone/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/fs/http/AbstractHttpFileSystem.java:65:22:65:42",21069,"remaining","file:///tmp/GitClone/hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/util/KerberosName.java:362:44:362:52","This $@ that depends on $@ may run slow on strings starting with 'RULE:[:](' and with many repetitions of 'RULE:[:](('.",3401,"[^)]*","file:///tmp/GitClone/hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/util/KerberosName.java:84:68:85:72","regular expression",94119,"getInputStream(...)","file:///tmp/GitClone/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/fs/http/AbstractHttpFileSystem.java:65:22:65:42","a user-provided value"
21069,"remaining","file:///tmp/GitClone/hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/util/KerberosName.java:362:44:362:52",10,"getInputStream(...) : InputStream","file:///tmp/GitClone/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/net/NetUtils.java:486:11:486:33",21069,"remaining","file:///tmp/GitClone/hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/util/KerberosName.java:362:44:362:52","This $@ that depends on $@ may run slow on strings with many repetitions of ' '.",3397,"\s*","file:///tmp/GitClone/hadoop-common-project/hadoop-auth/src/main/java/org/apache/hadoop/security/authentication/util/KerberosName.java:84:22:85:25","regular expression",240953,"getInputStream(...)","file:///tmp/GitClone/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/net/NetUtils.java:486:11:486:33","a user-provided value"
