"ID of col0","col0","URL for col0","ID of source","source","URL for source","ID of sink","sink","URL for sink","col3","ID of col4","col4","URL for col4","col5"
226328,"load(...)","file:///tmp/GitClone/src/main/java/org/paasta/container/platform/api/common/util/YamlUtil.java:32:42:32:53",0,"yaml : String","file:///tmp/GitClone/src/main/java/org/paasta/container/platform/api/clusters/limitRanges/LimitRangesController.java:168:37:168:60",47,"yaml","file:///tmp/GitClone/src/main/java/org/paasta/container/platform/api/common/util/YamlUtil.java:32:49:32:52","Unsafe deserialization of $@.",59486,"yaml","file:///tmp/GitClone/src/main/java/org/paasta/container/platform/api/clusters/limitRanges/LimitRangesController.java:168:37:168:60","user input"
226328,"load(...)","file:///tmp/GitClone/src/main/java/org/paasta/container/platform/api/common/util/YamlUtil.java:32:42:32:53",1,"yaml : String","file:///tmp/GitClone/src/main/java/org/paasta/container/platform/api/clusters/resourceQuotas/ResourceQuotasController.java:165:40:165:63",47,"yaml","file:///tmp/GitClone/src/main/java/org/paasta/container/platform/api/common/util/YamlUtil.java:32:49:32:52","Unsafe deserialization of $@.",59645,"yaml","file:///tmp/GitClone/src/main/java/org/paasta/container/platform/api/clusters/resourceQuotas/ResourceQuotasController.java:165:40:165:63","user input"
226328,"load(...)","file:///tmp/GitClone/src/main/java/org/paasta/container/platform/api/common/util/YamlUtil.java:32:42:32:53",2,"yaml : String","file:///tmp/GitClone/src/main/java/org/paasta/container/platform/api/customServices/CustomServicesController.java:166:34:166:57",47,"yaml","file:///tmp/GitClone/src/main/java/org/paasta/container/platform/api/common/util/YamlUtil.java:32:49:32:52","Unsafe deserialization of $@.",59858,"yaml","file:///tmp/GitClone/src/main/java/org/paasta/container/platform/api/customServices/CustomServicesController.java:166:34:166:57","user input"
226328,"load(...)","file:///tmp/GitClone/src/main/java/org/paasta/container/platform/api/common/util/YamlUtil.java:32:42:32:53",3,"yaml : String","file:///tmp/GitClone/src/main/java/org/paasta/container/platform/api/roles/RolesController.java:168:31:168:54",47,"yaml","file:///tmp/GitClone/src/main/java/org/paasta/container/platform/api/common/util/YamlUtil.java:32:49:32:52","Unsafe deserialization of $@.",60096,"yaml","file:///tmp/GitClone/src/main/java/org/paasta/container/platform/api/roles/RolesController.java:168:31:168:54","user input"
226328,"load(...)","file:///tmp/GitClone/src/main/java/org/paasta/container/platform/api/common/util/YamlUtil.java:32:42:32:53",4,"yaml : String","file:///tmp/GitClone/src/main/java/org/paasta/container/platform/api/storages/persistentVolumeClaims/PersistentVolumeClaimsController.java:155:48:155:71",47,"yaml","file:///tmp/GitClone/src/main/java/org/paasta/container/platform/api/common/util/YamlUtil.java:32:49:32:52","Unsafe deserialization of $@.",60208,"yaml","file:///tmp/GitClone/src/main/java/org/paasta/container/platform/api/storages/persistentVolumeClaims/PersistentVolumeClaimsController.java:155:48:155:71","user input"
226328,"load(...)","file:///tmp/GitClone/src/main/java/org/paasta/container/platform/api/common/util/YamlUtil.java:32:42:32:53",5,"yaml : String","file:///tmp/GitClone/src/main/java/org/paasta/container/platform/api/storages/persistentVolumes/PersistentVolumesController.java:151:43:151:66",47,"yaml","file:///tmp/GitClone/src/main/java/org/paasta/container/platform/api/common/util/YamlUtil.java:32:49:32:52","Unsafe deserialization of $@.",60278,"yaml","file:///tmp/GitClone/src/main/java/org/paasta/container/platform/api/storages/persistentVolumes/PersistentVolumesController.java:151:43:151:66","user input"
226328,"load(...)","file:///tmp/GitClone/src/main/java/org/paasta/container/platform/api/common/util/YamlUtil.java:32:42:32:53",6,"yaml : String","file:///tmp/GitClone/src/main/java/org/paasta/container/platform/api/storages/storageClasses/StorageClassesController.java:146:40:146:63",47,"yaml","file:///tmp/GitClone/src/main/java/org/paasta/container/platform/api/common/util/YamlUtil.java:32:49:32:52","Unsafe deserialization of $@.",60327,"yaml","file:///tmp/GitClone/src/main/java/org/paasta/container/platform/api/storages/storageClasses/StorageClassesController.java:146:40:146:63","user input"
226328,"load(...)","file:///tmp/GitClone/src/main/java/org/paasta/container/platform/api/common/util/YamlUtil.java:32:42:32:53",7,"yaml : String","file:///tmp/GitClone/src/main/java/org/paasta/container/platform/api/workloads/deployments/DeploymentsController.java:160:37:160:60",47,"yaml","file:///tmp/GitClone/src/main/java/org/paasta/container/platform/api/common/util/YamlUtil.java:32:49:32:52","Unsafe deserialization of $@.",60487,"yaml","file:///tmp/GitClone/src/main/java/org/paasta/container/platform/api/workloads/deployments/DeploymentsController.java:160:37:160:60","user input"
226328,"load(...)","file:///tmp/GitClone/src/main/java/org/paasta/container/platform/api/common/util/YamlUtil.java:32:42:32:53",8,"yaml : String","file:///tmp/GitClone/src/main/java/org/paasta/container/platform/api/workloads/pods/PodsController.java:251:30:251:53",47,"yaml","file:///tmp/GitClone/src/main/java/org/paasta/container/platform/api/common/util/YamlUtil.java:32:49:32:52","Unsafe deserialization of $@.",60555,"yaml","file:///tmp/GitClone/src/main/java/org/paasta/container/platform/api/workloads/pods/PodsController.java:251:30:251:53","user input"
226328,"load(...)","file:///tmp/GitClone/src/main/java/org/paasta/container/platform/api/common/util/YamlUtil.java:32:42:32:53",9,"yaml : String","file:///tmp/GitClone/src/main/java/org/paasta/container/platform/api/workloads/replicaSets/ReplicaSetsController.java:205:37:205:60",47,"yaml","file:///tmp/GitClone/src/main/java/org/paasta/container/platform/api/common/util/YamlUtil.java:32:49:32:52","Unsafe deserialization of $@.",60682,"yaml","file:///tmp/GitClone/src/main/java/org/paasta/container/platform/api/workloads/replicaSets/ReplicaSetsController.java:205:37:205:60","user input"
